Datetime,ZoneMeanAirTemperature 1,ZoneMeanAirTemperature 2,ZoneMeanAirTemperature 3,ZoneMeanAirTemperature 4,ZoneMeanAirTemperature 5,Environment,HeatInput 1,HeatInput 2,HeatInput 3,HeatInput 4,HeatInput 5,Total Solar Radiation
21-Jan-2021 19:45:00,19.0466113953599,21.8689875296951,19.4727968260948,18.1869925311272,18.5759843836513,4.975,0,4200,4200,0,0,0
21-Jan-2021 20:00:00,18.8209627894298,22.1286484191586,21.623761975991,18.1064536568445,18.5165688355107,4.8,0,0,4200,6600,1800,0
21-Jan-2021 20:15:00,18.654791234326,19.4846271038531,21.8912491225699,20.9826241738198,20.9081741460289,4.625,0,4200,4200,6600,1800,0
21-Jan-2021 20:30:00,18.5282768228146,21.9407516608913,22.0653690348412,21.4636890555175,21.2508681263252,4.45,0,4200,0,6600,1800,0
21-Jan-2021 20:45:00,18.4293100291039,22.1899901048855,19.9566395088663,21.7981113049487,21.4799589838803,4.275,0,0,4200,6600,1800,0
21-Jan-2021 21:00:00,18.3489421814812,19.537187996074,21.9533802021725,22.0457747927188,21.6424979288753,4.1,4200,4200,0,0,1800,0
21-Jan-2021 21:15:00,21.1029631249803,21.9856102497607,19.9023518616493,19.2914566873182,21.7625598651538,4,4200,4200,0,6600,0,0
21-Jan-2021 21:30:00,21.5443390188199,22.2296056724964,19.6934739961074,21.846566186071,19.4102332598173,3.9,4200,0,0,6600,0,0
21-Jan-2021 21:45:00,21.8465833411794,19.5735891368141,19.5613207100621,22.1197885040724,19.0936720346499,3.8,4200,4200,0,0,0,0
21-Jan-2021 22:00:00,22.0667060278522,22.0198181792611,19.4714048123568,19.3632280189956,18.8829060248564,3.7,0,0,0,6600,0,0
21-Jan-2021 22:15:00,19.4110243418665,19.4396666631324,19.4060162906335,21.9100106076287,18.7312237690412,3.675,0,0,0,0,0,0
21-Jan-2021 22:30:00,19.0418079924285,19.1051353656452,19.3553040427489,19.2321908780693,18.6189445110346,3.65,0,0,0,0,0,0
21-Jan-2021 22:45:00,18.790985877548,18.8737734379625,19.3115044204139,18.8756265182851,18.531052532167,3.625,4200,0,0,0,0,0
21-Jan-2021 23:00:00,21.4278229382829,18.7009704814589,19.2711522571481,18.6289532510037,18.4589505198282,3.6,0,4200,0,0,0,0
