Datetime,ZoneMeanAirTemperature 1,ZoneMeanAirTemperature 2,ZoneMeanAirTemperature 3,ZoneMeanAirTemperature 4,ZoneMeanAirTemperature 5,Environment,HeatInput 1,HeatInput 2,HeatInput 3,HeatInput 4,HeatInput 5
21-Jan-2008 19:00:00,12.6482898464853,12.8274540938346,15.1413172110845,9.81065001460046,8.82613303940213,-11.0579867923643,0,4200,4200,0,0
21-Jan-2008 20:00:00,9.58370220971009,13.0604537193208,15.1907199054805,9.89989779108951,8.93726296755313,-7.89196249437166,4200,4200,4200,0,1800
21-Jan-2008 21:00:00,13.1480237729024,13.4586847375097,15.2940420852733,10.1590295394027,12.110914463709,-1.50159174136671,4200,4200,0,0,0
21-Jan-2008 22:00:00,14.0444868538926,14.3228183990955,13.0763381743479,10.8632910222668,10.2085441341883,7.09059967960131,0,0,0,0,0
21-Jan-2008 23:00:00,11.9463884922689,12.2158006894759,13.3718538455887,11.8934349350497,11.4168341895818,10.2889275285322,0,4200,4200,0,1800
22-Jan-2008 00:00:00,12.319502454385,15.8814981768045,15.9704478196941,12.2779378735819,14.7437821271899,5.00000000000014,4200,0,4200,0,1800
22-Jan-2008 01:00:00,14.8728320773707,11.9644167580888,15.7888735543499,11.5650839170996,14.0330297693638,-0.288927528532084,0,0,4200,6600,1800
22-Jan-2008 02:00:00,10.9188976389249,11.137161823643,15.5637613077682,14.2644794252306,13.265268168221,2.9094003203983,4200,0,0,0,1800
22-Jan-2008 03:00:00,14.5369661005476,11.4714999185063,13.2225076939306,11.3113150549618,13.778981074149,11.501591741366,0,4200,0,6600,1800
22-Jan-2008 04:00:00,12.4939937014332,15.8862339381785,13.5712441471769,15.8085159148092,15.1597881258998,17.8919624943712,4200,0,4200,0,0
22-Jan-2008 05:00:00,16.6563290844015,13.6087287032658,16.3943460024921,13.3638467472613,13.4099615724699,21.0579867923642,4200,0,4200,6600,1800
22-Jan-2008 06:00:00,17.2871593627833,14.0729821481498,16.7092120867533,17.2561407011201,16.8143236264588,23.1294096168161,4200,0,0,0,1800
22-Jan-2008 07:00:00,17.7497031333028,14.4204161425839,14.4618343385271,14.2987428153881,17.3431483090825,22.5217207312189,4200,4200,0,6600,0
22-Jan-2008 08:00:00,17.8429403417091,17.7054962789165,14.4791512838634,17.6962231206043,14.5686773816484,18.4293449073165,0,0,0,0,0
22-Jan-2008 09:00:00,14.136041566213,14.0326039534573,14.3209329272569,13.902022536072,13.9746655898494,15.2859581719081,4200,4200,0,6600,0
22-Jan-2008 10:00:00,16.9888674045829,16.8949345522912,14.1835202118283,16.9197387509417,13.5116304072104,15.241938704607,0,0,0,0,0
22-Jan-2008 11:00:00,13.8176872564209,13.7317930857254,14.1900040679633,13.6157361125375,13.5145660558705,12.9699623815864,4200,0,4200,6600,0
22-Jan-2008 12:00:00,16.7788342858638,13.3999404101843,16.586287167459,16.7421140907676,13.178885824216,5.0000000000003,4200,0,4200,6600,1800
