Tmargin,num_latent_states,rmse,rank_obsv_str,cond_obsv,rank_ctrb_str,cond_ctrb
0.5,0,1.5258585214614868,5/5,11592.49139595247,5/5,263728.3
0.5,1,0.6652611494064331,6/6,96326.63114569032,4/6,143132320.0
0.5,2,0.4034044146537781,7/7,902632.9928276013,5/7,1308163100.0
0.5,3,0.47670984268188477,8/8,37645989.88125308,5/8,9329197000.0
0.5,4,0.28580978512763977,9/9,473612496.4171973,5/9,251720610000.0
0.0,0,1.4456794261932373,5/5,17691.83001814891,4/5,572737.7
0.0,1,0.7085822224617004,6/6,47112.373119487165,5/6,12775379.0
0.0,2,0.41804417967796326,7/7,3065417.9057528772,5/7,1231949800.0
0.0,3,0.3628709316253662,8/8,19589592.78690523,5/8,10408596000.0
0.0,4,0.2625611126422882,9/9,410362711.7626468,5/9,105388335000.0
1.5,0,1.8428596258163452,5/5,3333.7090497595877,5/5,55519.28
1.5,1,0.7600055932998657,6/6,47924.16511805674,5/6,98230290.0
1.5,2,0.4492504596710205,7/7,537163.8344913302,5/7,1608419700.0
1.5,3,0.4557703733444214,8/8,2732754.8628641698,5/8,6319342000.0
1.5,4,0.3592836856842041,9/9,531584.4260789792,5/9,125632910.0
1.0,0,1.6839885711669922,5/5,9447.675382497979,5/5,183920.6
1.0,1,0.6795750260353088,6/6,81145.56762633464,4/6,68765430.0
1.0,2,0.3751842677593231,7/7,762377.4407743976,5/7,1676326500.0
1.0,3,0.3737633526325226,8/8,12152160.357377052,5/8,15780990000.0
1.0,4,0.3056110739707947,9/9,74941390.49075177,5/9,285179120000.0
2.5,0,1.6286388635635376,5/5,703.7792872947795,5/5,33473.31
2.5,1,0.8405006527900696,6/6,3335.156195957166,5/6,7565995.5
2.5,2,0.698302149772644,7/7,91929.49954924743,5/7,67460280.0
2.5,3,0.5616817474365234,8/8,555189.1683202205,5/8,216637710.0
2.5,4,1.4315502643585205,9/9,53.150276851284815,9/9,342.47394
2.0,0,1.5518686771392822,5/5,1148.5863819984602,5/5,22640.371
2.0,1,0.7125523686408997,6/6,10141.627558375098,5/6,7541577.0
2.0,2,0.5192381143569946,7/7,143674.8098391485,5/7,716346700.0
2.0,3,0.4472475051879883,8/8,508606.6813512312,5/8,622243900.0
3.5,0,1.615477204322815,5/5,545.8981153841919,5/5,39025.48
3.5,1,0.6121894121170044,6/6,3372.328275754408,5/6,814403.25
3.5,2,0.6160679459571838,7/7,44370.18279504259,5/7,47561424.0
3.5,3,0.4649770259857178,8/8,210416.32603599486,5/8,145334690.0
3.0,0,1.833317756652832,5/5,546.220227208599,5/5,19746.496
3.0,1,0.8054751753807068,6/6,4046.348272139854,5/6,647875.5
3.0,2,0.8417539596557617,7/7,48813.0293867772,5/7,70216920.0
3.0,3,0.5804638266563416,8/8,212828.04414399838,5/8,229458450.0
4.5,0,1.8208181858062744,5/5,412.79678262063504,5/5,19293.305
4.5,1,0.7784157395362854,6/6,4047.4522105715196,5/6,6169634.0
4.5,2,0.612315833568573,7/7,52434.018461162814,5/7,95276320.0
4.5,3,0.4728855788707733,8/8,215882.88007374379,5/8,176223000.0
4.0,0,1.7111320495605469,5/5,434.88576063602335,5/5,20522.68
4.0,1,0.709506094455719,6/6,9275.742484742606,5/6,6389353.5
4.0,2,0.5517488718032837,7/7,39357.9237419583,5/7,29563920.0
4.0,3,0.38005971908569336,8/8,305578.1956140622,5/8,175650200.0
5.0,0,1.8057072162628174,5/5,270.4891577946328,5/5,10220.09
5.0,1,0.8458280563354492,6/6,3671.2430436555164,5/6,4245127.0
5.0,2,0.8589057922363281,7/7,50384.750373596435,5/7,45417892.0
5.0,3,0.5117704272270203,8/8,214480.01062198982,5/8,159800110.0
