Tmargin,num_latent_states,rmse,rank_obsv_str,cond_obsv,rank_ctrb_str,cond_ctrb,gramian_cond_obsv,gramian_cond_cont
1.0,1,0.7337722778320312,6/6,3.359339728161801,6/6,47.19476670880509,9353.61410157585,152.1499446940433
1.0,2,0.69893878698349,7/7,21.485931491132465,7/7,468.29819476649396,16503.21933608562,55.503531342560876
1.0,3,0.6507197022438049,8/8,19.280519570041193,8/8,477.42387302111723,11668.25345689008,565.0461285419341
1.0,4,0.6069732308387756,9/9,117.20976623737901,9/9,1342.981113707629,365796.1352532141,552.6065589755843
1.0,5,0.6362153887748718,10/10,235.18747566176432,10/10,426.11487216638574,3540508.215400581,1989.2761106513908
2.0,1,0.6342245936393738,6/6,3.715753047094551,6/6,79.4547936225017,22195.600045841413,54.523351925851486
2.0,2,0.5063843727111816,7/7,3.984189918501114,7/7,3085.263334292651,2979.3734663571936,241.4105612442591
2.0,3,0.4600165784358978,8/8,17.243021499527227,8/8,6801.908582414379,7790.965687455277,550.1666506912455
2.0,4,0.47644203901290894,9/9,63.24614880382077,9/9,15579.44661609127,203034.65625137484,446.85034335771854
2.0,5,0.43643587827682495,10/10,125.39310306531924,10/10,14761.176482966457,1126268.4350783178,590.506464039238
3.0,1,0.6454775929450989,6/6,3.4983232272919524,6/6,85.97064130121129,8471.492901289866,35.00251352070783
3.0,2,0.518928587436676,7/7,4.821439319367549,7/7,3610.100517320551,2100.6695489057975,227.8152268115583
3.0,3,0.4894457161426544,8/8,3.2380254513675015,8/8,3112.1480020759586,3662.271271599821,241.0089003057969
3.0,4,0.450629860162735,9/9,4.257462381644578,9/9,15390.737145005032,3295.473281286053,868.8749301952672
3.0,5,0.46194717288017273,10/10,130.42654565143891,10/10,5376.68071166189,755685.1163147473,395.23922196138403
4.0,1,0.7028762698173523,6/6,3.515561352018073,6/6,78.52571095447992,11414.18450069617,43.594711600712024
4.0,2,0.5825034379959106,7/7,3.129904593399319,7/7,3659.9439061397566,4035.0978230187993,292.61716528088715
4.0,3,0.5573775172233582,8/8,3.0167247357994786,8/8,3722.07206227259,4618.218644340892,316.58207656666366
4.0,4,0.4882751405239105,9/9,5.549678956363445,9/9,5956.499414511687,3339.477539937723,241.95346045390073
4.0,5,0.5240941047668457,10/10,133.70783558121045,10/10,11529.091688225037,1138286.242399909,1175.8000954210986
5.0,1,0.6777068376541138,6/6,3.530321138899402,6/6,66.5267733413597,10904.154032100103,41.77370496443364
5.0,2,0.5983332991600037,7/7,3.104702879245127,7/7,3421.3040697821284,5027.927866425046,302.4240579731573
5.0,3,0.5498974919319153,8/8,5.014587555700725,8/8,5162.085676059837,3563.446789435206,341.9870651731229
5.0,4,0.5063912272453308,9/9,3.016925693838605,9/9,3360.58670100225,5299.753153344672,216.3505114225736
5.0,5,0.49319344758987427,10/10,23.507397116615316,10/10,4528.8269322995775,56935.8354540958,236.8356938785037
